period,gas_price,normalized_gas_price,gas_rank,cheese_price,normalized_cheese_price,cheese_rank,temperature,temperature_rank,total_happiness_score
1/1/2024,2.973,0.120148,205,5.724,0.9907414,30,36.7,13,248
1/2/2024,2.973,0.120148,205,5.724,0.9907414,30,37.2,17,252
1/3/2024,2.973,0.120148,205,5.724,0.9907414,30,35.6,9,244
1/4/2024,2.973,0.120148,205,5.724,0.9907414,30,36.7,13,248
1/5/2024,2.973,0.120148,205,5.724,0.9907414,30,36.2,12,247
1/6/2024,2.973,0.120148,205,5.724,0.9907414,30,39.5,22,257
1/7/2024,2.973,0.120148,205,5.724,0.9907414,30,38.2,18,253
1/8/2024,2.975,0.123844594,198,5.724,0.9907414,30,36.9,15,243
1/9/2024,2.975,0.123844594,198,5.724,0.9907414,30,42.5,27,255
1/10/2024,2.975,0.123844594,198,5.724,0.9907414,30,36,11,239
1/11/2024,2.975,0.123844594,198,5.724,0.9907414,30,44.1,32,260
1/12/2024,2.975,0.123844594,198,5.724,0.9907414,30,43.9,30,258
1/13/2024,2.975,0.123844594,198,5.724,0.9907414,30,32.1,5,233
1/14/2024,2.975,0.123844594,198,5.724,0.9907414,30,39.9,23,251
1/15/2024,2.939,0.05730112,212,5.724,0.9907414,30,47.9,42,284
1/16/2024,2.939,0.05730112,212,5.724,0.9907414,30,21.8,3,245
1/17/2024,2.939,0.05730112,212,5.724,0.9907414,30,15.9,2,244
1/18/2024,2.939,0.05730112,212,5.724,0.9907414,30,35.6,9,251
1/19/2024,2.939,0.05730112,212,5.724,0.9907414,30,32.2,6,248
1/20/2024,2.939,0.05730112,212,5.724,0.9907414,30,10.9,1,243
1/21/2024,2.939,0.05730112,212,5.724,0.9907414,30,22.2,4,246
1/22/2024,2.908,0,219,5.724,0.9907414,30,32.2,6,255
1/23/2024,2.908,0,219,5.724,0.9907414,30,43.3,29,278
1/24/2024,2.908,0,219,5.724,0.9907414,30,53.7,61,310
1/25/2024,2.908,0,219,5.724,0.9907414,30,64.2,100,349
1/26/2024,2.908,0,219,5.724,0.9907414,30,62,94,343
1/27/2024,2.908,0,219,5.724,0.9907414,30,61.3,91,340
1/28/2024,2.908,0,219,5.724,0.9907414,30,40.9,24,273
1/29/2024,2.997,0.16451018,191,5.724,0.9907414,30,39.3,21,242
1/30/2024,2.997,0.16451018,191,5.724,0.9907414,30,44.4,34,255
1/31/2024,2.997,0.16451018,191,5.724,0.9907414,30,44,31,252
2/1/2024,2.997,0.16451018,191,5.726,1,1,44.5,35,227
2/2/2024,2.997,0.16451018,191,5.726,1,1,51.5,52,244
2/3/2024,2.997,0.16451018,191,5.726,1,1,50,49,241
2/4/2024,2.997,0.16451018,191,5.726,1,1,38.5,19,211
2/5/2024,3.045,0.25323495,184,5.726,1,1,44.3,33,218
2/6/2024,3.045,0.25323495,184,5.726,1,1,47.7,41,226
2/7/2024,3.045,0.25323495,184,5.726,1,1,44.8,36,221
2/8/2024,3.045,0.25323495,184,5.726,1,1,46.6,39,224
2/9/2024,3.045,0.25323495,184,5.726,1,1,53.6,60,245
2/10/2024,3.045,0.25323495,184,5.726,1,1,58.5,75,260
2/11/2024,3.045,0.25323495,184,5.726,1,1,62.6,97,282
2/12/2024,3.08,0.3179297,177,5.726,1,1,57.4,70,248
2/13/2024,3.08,0.3179297,177,5.726,1,1,42.4,26,204
2/14/2024,3.08,0.3179297,177,5.726,1,1,48.1,43,221
2/15/2024,3.08,0.3179297,177,5.726,1,1,52,55,233
2/16/2024,3.08,0.3179297,177,5.726,1,1,55.6,64,242
2/17/2024,3.08,0.3179297,177,5.726,1,1,38.8,20,198
2/18/2024,3.08,0.3179297,177,5.726,1,1,35,8,186
2/19/2024,3.177,0.49722755,163,5.726,1,1,44.8,36,200
2/20/2024,3.177,0.49722755,163,5.726,1,1,45.7,38,202
2/21/2024,3.177,0.49722755,163,5.726,1,1,49.5,48,212
2/22/2024,3.177,0.49722755,163,5.726,1,1,55.9,65,229
2/23/2024,3.177,0.49722755,163,5.726,1,1,59.4,82,246
2/24/2024,3.177,0.49722755,163,5.726,1,1,51.7,53,217
2/25/2024,3.177,0.49722755,163,5.726,1,1,47.6,40,204
2/26/2024,3.144,0.4362294,170,5.726,1,1,57.1,68,239
2/27/2024,3.144,0.4362294,170,5.726,1,1,65.2,105,276
2/28/2024,3.144,0.4362294,170,5.726,1,1,60.9,88,259
2/29/2024,3.144,0.4362294,170,5.726,1,1,42.8,28,199
3/1/2024,3.144,0.4362294,170,5.689,0.8287048,61,37,16,247
3/2/2024,3.144,0.4362294,170,5.689,0.8287048,61,49.1,47,278
3/3/2024,3.144,0.4362294,170,5.689,0.8287048,61,57.8,72,303
3/4/2024,3.19,0.52125716,156,5.689,0.8287048,61,59.1,78,295
3/5/2024,3.19,0.52125716,156,5.689,0.8287048,61,57.1,68,285
3/6/2024,3.19,0.52125716,156,5.689,0.8287048,61,58.8,76,293
3/7/2024,3.19,0.52125716,156,5.689,0.8287048,61,62.4,96,313
3/8/2024,3.19,0.52125716,156,5.689,0.8287048,61,61.1,89,306
3/9/2024,3.19,0.52125716,156,5.689,0.8287048,61,59.7,84,301
3/10/2024,3.19,0.52125716,156,5.689,0.8287048,61,48.1,43,260
3/11/2024,3.241,0.61552685,134,5.689,0.8287048,61,48.3,45,240
3/12/2024,3.241,0.61552685,134,5.689,0.8287048,61,55,63,258
3/13/2024,3.241,0.61552685,134,5.689,0.8287048,61,59.3,80,275
3/14/2024,3.241,0.61552685,134,5.689,0.8287048,61,64.6,103,298
3/15/2024,3.241,0.61552685,134,5.689,0.8287048,61,65.1,104,299
3/16/2024,3.241,0.61552685,134,5.689,0.8287048,61,63.4,98,293
3/17/2024,3.241,0.61552685,134,5.689,0.8287048,61,58.9,77,272
3/18/2024,3.342,0.8022183,85,5.689,0.8287048,61,48.7,46,192
3/19/2024,3.342,0.8022183,85,5.689,0.8287048,61,41.5,25,171
3/20/2024,3.342,0.8022183,85,5.689,0.8287048,61,54.9,62,208
3/21/2024,3.342,0.8022183,85,5.689,0.8287048,61,61.9,93,239
3/22/2024,3.342,0.8022183,85,5.689,0.8287048,61,59.6,83,229
3/23/2024,3.342,0.8022183,85,5.689,0.8287048,61,59.1,78,224
3/24/2024,3.342,0.8022183,85,5.689,0.8287048,61,52,55,201
3/25/2024,3.357,0.82994497,71,5.689,0.8287048,61,53.2,58,190
3/26/2024,3.357,0.82994497,71,5.689,0.8287048,61,58.1,74,206
3/27/2024,3.357,0.82994497,71,5.689,0.8287048,61,60.1,85,217
3/28/2024,3.357,0.82994497,71,5.689,0.8287048,61,58,73,205
3/29/2024,3.357,0.82994497,71,5.689,0.8287048,61,55.9,65,197
3/30/2024,3.357,0.82994497,71,5.689,0.8287048,61,61.3,91,223
3/31/2024,3.357,0.82994497,71,5.689,0.8287048,61,65.9,108,240
4/1/2024,3.363,0.8410351,57,5.51,0,196,68.6,116,369
4/2/2024,3.363,0.8410351,57,5.51,0,196,72,134,387
4/3/2024,3.363,0.8410351,57,5.51,0,196,60.7,87,340
4/4/2024,3.363,0.8410351,57,5.51,0,196,51.7,53,306
4/5/2024,3.363,0.8410351,57,5.51,0,196,50.2,51,304
4/6/2024,3.363,0.8410351,57,5.51,0,196,50.1,50,303
4/7/2024,3.363,0.8410351,57,5.51,0,196,56.5,67,320
4/8/2024,3.345,0.80776364,78,5.51,0,196,64.4,101,375
4/9/2024,3.345,0.80776364,78,5.51,0,196,60.1,85,359
4/10/2024,3.345,0.80776364,78,5.51,0,196,64.4,101,375
4/11/2024,3.345,0.80776364,78,5.51,0,196,65.7,107,381
4/12/2024,3.345,0.80776364,78,5.51,0,196,59.3,80,354
4/13/2024,3.345,0.80776364,78,5.51,0,196,61.1,89,363
4/14/2024,3.345,0.80776364,78,5.51,0,196,67.2,111,385
4/15/2024,3.41,0.92791164,22,5.51,0,196,70.6,124,342
4/16/2024,3.41,0.92791164,22,5.51,0,196,69.8,121,339
4/17/2024,3.41,0.92791164,22,5.51,0,196,70.5,123,341
4/18/2024,3.41,0.92791164,22,5.51,0,196,71.5,130,348
4/19/2024,3.41,0.92791164,22,5.51,0,196,75,144,362
4/20/2024,3.41,0.92791164,22,5.51,0,196,69.5,120,338
4/21/2024,3.41,0.92791164,22,5.51,0,196,53.3,59,277
4/22/2024,3.424,0.95378953,15,5.51,0,196,52.9,57,268
4/23/2024,3.424,0.95378953,15,5.51,0,196,57.6,71,282
